(60, 35), (41, 27), 
(49, 28), (44, 25), 
(56, 32), (39, 25), 
(53, 28), (43, 26), 
(54, 29), (42, 25), 
(54, 32), (42, 28), 
(53, 32), (43, 27), 
(54, 30), (42, 26), 
(53, 31), (43, 27), 
(54, 30), (46, 27), 
(57, 31), (42, 27), 
(54, 28), (48, 27), 
(59, 33), (44, 28), 
(54, 31), (48, 28), 
(59, 34), (43, 29), 
(52, 29), (48, 26), 
(59, 33), (43, 27), 
(54, 27), (49, 25), 
(62, 31), (50, 28), 
(54, 28), (49, 27), 
(63, 32), (51, 29), 
(56, 30), (49, 27), 
(59, 32), (53, 29), 
(61, 30), (52, 29), 
(61, 33), (56, 32), 
(64, 28), (52, 27), 
(61, 32), (56, 30), 
(65, 28), (56, 29), 
(59, 32), (56, 31), 
(66, 27), (60, 28), 
(64, 30), (58, 28), 
(65, 26), (60, 28), 
(64, 30), (58, 28), 
(66, 29), (61, 29), 
(65, 31), (56, 28), 
(66, 29), (64, 28), 
(66, 30), (56, 27), 
(69, 31), (69, 32), 
(67, 29), (59, 27), 
(69, 33), (71, 32), 
(67, 30), (62, 29), 
(70, 34), (71, 35), 
(67, 31), (63, 32), 
(69, 32), (72, 33), 
(67, 31), (63, 31), 
(69, 30), (68, 30), 
(67, 31), (65, 31), 
(70, 32), (66, 31), 
(69, 32), (66, 34), 
(68, 29), (68, 28), 
(68, 31), (69, 33), 
(66, 31), (66, 28), 
(68, 32), (72, 35), 
(66, 29), (67, 26), 
(68, 30), (71, 33), 
(66, 30), (68, 28), 
(68, 31), (71, 34), 
(66, 32), (68, 31), 
(70, 33), (71, 35), 
(66, 32), (66, 31), 
(71, 36), (69, 34), 
(68, 33), (66, 32), 
(72, 35), (68, 33), 
(68, 33), (63, 31), 
(73, 35), (68, 31), 
(70, 34), (62, 33), 
(76, 35), (67, 30), 
(70, 34), (63, 34), 
(76, 35), (66, 32), 
(72, 35), (63, 32), 
(76, 36), (68, 33), 
(68, 35), (63, 32), 
(75, 37), (67, 32), 
(69, 34), (63, 30), 
(75, 36), (61, 33), 
(71, 32), (64, 30), 
